first name,Email ID,Quantity,Events,Attendee Status,College Unknownme,How did you come to know about this event?,how do you know about this event ?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,dummy family income,family income in lakh,Expected salary (Lakh),Leadership- skills
vibhav ,vibhav@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2026,Hisar,9.5,5,0-2 Lakh,0-2 ,2,17,no
nachiket,nachiket@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2023,Jind,9.2,5,0-2 Lakh,0-2 ,2,18,yes
vallabh ashish,vallabhashish@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2023,Rohtak,9.1,3,0-2 Lakh,0-2 ,2,8,yes
venkatanarayana,venkatanarayana@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Asst. Professor,2025,Sirsa,6.9,7,0-2 Lakh,0-2 ,2,8,no
rupa,rupa@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Unknown,Unknown,,Asst. Professor,2024,Kangra,9.2,7,0-2 Lakh,0-2 ,2,17,yes
pushp lochan,pushplochan@xyz.com,1,IAC - Q&A,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Students,2023,Hamirpur,7.3,7,0-2 Lakh,0-2 ,2,13,no
samir,samir@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2025,Jammu,8.7,3,0-2 Lakh,0-2 ,2,7,yes
elita,elita@xyz.com,1,IAC - Q&A,Attending,d y patil institute of mca and maUnknowngement akurdi pune,Unknown,Unknown,,Students,2023,Srinagar,8,5,0-2 Lakh,0-2 ,2,25,no
chandani ,chandani@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Unknown,Unknown,,Students,2024,Bengaluru,9.7,7,0-2 Lakh,0-2 ,2,20,no
elisha ,elisha@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2024,Kolar,9.3,5,0-2 Lakh,0-2 ,2,13,yes
erem,erem@xyz.com,1,IAC - Q&A,Attending,New horizon institute of Technology and MaUnknowngement ,Unknown,Unknown,,Students,2023,Kollam,8.7,7,0-2 Lakh,0-2 ,2,10,no 
japesh,japesh@xyz.com,1,IAC - Q&A,Attending,"Symbiosis Institute of Technology, Pune",Unknown,Unknown,,Asst. Professor,2026,Bhopal,9.2,5,0-2 Lakh,0-2 ,2,10,yes
yugesh,yugesh@xyz.com,1,IAC - Q&A,Attending,Wilson college ,Unknown,Unknown,,Students,2024,Guna,7.1,4,0-2 Lakh,0-2 ,2,20,no
jayanti ,jayanti@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Mechanical Engineer,2024,Bhandara,7.4,4,0-2 Lakh,0-2 ,2,8,no 
prasfur,prasfur@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Pillai College of Engineering New Panvel,Unknown,Unknown,,B.Tech,2026,Bhsawal,6.7,5,0-2 Lakh,0-2 ,2,7,yes
reyan ,reyan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier's College ,Unknown,Unknown,,Students,2023,Bid,7.3,7,0-2 Lakh,0-2 ,2,20,yes
alisha,alisha@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,Students,2025,Buldhana,9.7,5,0-2 Lakh,0-2 ,2,9,no
alfiya ,alfiya@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Jalgaon,7.2,5,0-2 Lakh,0-2 ,2,24,no
jeevan,jeevan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Students,2024,Thane,8.7,7,0-2 Lakh,0-2 ,2,11,no
mohammad jaid,mohammadjaid@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Nagpur,6.8,3,0-2 Lakh,0-2 ,2,9,no
unzela,unzela@xyz.com,1,Internship Program(IP) Success Conclave,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Unknown,Unknown,,Students,2025,Nanded,7.1,7,0-2 Lakh,0-2 ,2,8,no
sairam,sairam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Director T& P,2024,Kolhapur,8.5,3,0-2 Lakh,0-2 ,2,7,yes
prajval ,prajval@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute of Technology, Pune",Unknown,Unknown,,Students,2023,Karli,9.1,3,0-2 Lakh,0-2 ,2,25,yes
kayvan ,kayvan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St.Francis Institute of Technology,Unknown,Unknown,,Students,2025,Pune,6.7,7,2-5 Lakh,02-May,5,24,yes
saish,saish@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,Unknown,Unknown,,Students,2023,Satara,6.5,3,2-5 Lakh,02-May,5,19,no
stuti,stuti@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,Students,2025,Sangola,9.1,3,2-5 Lakh,02-May,5,17,no
rupesh,rupesh@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College of Engineering,Unknown,Unknown,,Students,2023,Wardha,8.9,3,2-5 Lakh,02-May,5,18,yes
yashika,yashika@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson college ,Unknown,Unknown,,Students,2025,Ulhasnagar,7.4,4,2-5 Lakh,02-May,5,9,no
khuzaima,khuzaima@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2025,konark,7.8,3,2-5 Lakh,02-May,5,8,no
agam,agam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Intern,2024,Baleshwar,9.9,5,7 Lakh+,7,7,19,yes
kesari,kesari@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New horizon institute of Technology and MaUnknowngement ,Unknown,Unknown,,Students,2025,Ajmer,9.6,7,2-5 Lakh,02-May,5,25,no
charvin,charvin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute of Technology, Pune",Unknown,Unknown,,Students,2023,Barmer,9.1,7,7 Lakh+,7,7,25,no
bhavika,bhavika@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,Students,2025,Bikaner,7.2,7,0-2 Lakh,0-2 ,2,7,yes
vasundhara,vasundhara@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Students,2024,Sikar,7.6,3,0-2 Lakh,0-2 ,2,20,yes
manita,manita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Unknown,Unknown,,Intern,2025,Hyderbad,6.3,3,0-2 Lakh,0-2 ,2,13,no 
salman,salman@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,CSE,2025,Aligarh,8.5,5,5-7 Lakh,05-Jul,7,21,no
nishit,nishit@xyz.com,1,Internship Program(IP) Success Conclave,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE UnknownVI MUMBAI,Unknown,Unknown,,Engineering ,2024,Gonda,8.8,7,7 Lakh+,7,7,8,no
kunjan,kunjan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,BE IT,2023,Ghazipur,7.9,3,0-2 Lakh,0-2 ,2,9,yes
vinayak,vinayak@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Intern,2023,Gonda,8.3,4,0-2 Lakh,0-2 ,2,7,no
vanita,vanita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute of Technology,Unknown,Unknown,,Students,2024,Gorakhpur,6.4,5,0-2 Lakh,0-2 ,2,25,no
mohammad aftab,mohammadaftab@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier's College ,Unknown,Unknown,,Students,2024,Jhansi,7.6,7,0-2 Lakh,0-2 ,2,8,yes
sagarica,sagarica@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Students,2023,Mainpuri,9.2,5,0-2 Lakh,0-2 ,2,18,yes
meenu,meenu@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Students,2026,Alipore,9.5,7,0-2 Lakh,0-2 ,2,21,no
shreedarshan ,shreedarshan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Pillai College of Engineering New Panvel,Unknown,Unknown,,Students,2023,Haora,6.9,3,0-2 Lakh,0-2 ,2,18,yes
jaspal,jaspal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,Students,2023,Hugli,6.9,7,2-5 Lakh,02-May,5,21,no
devendra,devendra@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Malda,7.5,4,7 Lakh+,7,7,25,no
merveille,merveille@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute of Technology, Pune",Unknown,Unknown,,Artificial intelligence,2023,Siliguri,6.9,3,0-2 Lakh,0-2 ,2,11,yes
sourav,sourav@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Intern,2024,Siuri,6.5,4,2-5 Lakh,02-May,5,19,no 
jeetram,jeetram@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New horizon institute of Technology and MaUnknowngement ,Unknown,Unknown,,Students,2025,Talmuk,6.7,5,7 Lakh+,7,7,12,yes
pranay,pranay@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute of Technology, Pune",Unknown,Unknown,,Intern,2023,Titagrah,6.7,4,0-2 Lakh,0-2 ,2,8,no
toseef,toseef@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College of Engineering,Unknown,Unknown,,Students,2023,Sagar,7.2,3,0-2 Lakh,0-2 ,2,7,yes
ratan ,ratan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson college ,Unknown,Unknown,,Students,2024,Satna,8.5,7,0-2 Lakh,0-2 ,2,13,no
mukulkumar,mukulkumar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Data Science and Analyst,2023,Jalgaon,7.9,4,0-2 Lakh,0-2 ,2,13,yes
shivakumar,shivakumar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Unknownvi Mumbai",Unknown,Unknown,,Data Science and Analyst,2024,Mumbai,9.4,4,0-2 Lakh,0-2 ,2,10,yes
vinay,vinay@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Data Science and Analyst,2025,Mahe,9.1,7,0-2 Lakh,0-2 ,2,21,no
prashasti,prashasti@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute of Technology, Pune",Unknown,Unknown,,Students,2024,Amritsar,7.7,5,0-2 Lakh,0-2 ,2,18,no
h md,hmd@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute of Technology, Pune",Unknown,Unknown,,Students,2026,Barmer,7.3,4,0-2 Lakh,0-2 ,2,7,no 
prerit,prerit@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New horizon institute of Technology and MaUnknowngement ,Unknown,Unknown,,Students,2025,Jhalwar,8.5,7,0-2 Lakh,0-2 ,2,21,no
kirtiraj,kirtiraj@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Late G. N. Sapkal College Of Engineering,Unknown,Unknown,,Students,2023,Jodhpur,7.7,4,0-2 Lakh,0-2 ,2,8,no
praveen,praveen@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,Engineering ,2026,Pali,7.9,3,0-2 Lakh,0-2 ,2,20,no
jaya ,jaya@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson college ,Unknown,Unknown,,Students,2023,Ahemdabad,8.3,5,0-2 Lakh,0-2 ,2,13,no
naeem,naeem@xyz.com,1,Internship Program(IP) Success Conclave,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Unknown,Unknown,,Students,2025,Dwarka,8,7,0-2 Lakh,0-2 ,2,17,no
viren,viren@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Unknown,Unknown,,Web Development,2026,Nadiad,9.3,4,0-2 Lakh,0-2 ,2,7,yes
purvika,purvika@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Navsari,6.9,7,0-2 Lakh,0-2 ,2,25,no
prajal,prajal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute of Technology, Pune",Unknown,Unknown,,Students,2023,Valsad,8.1,5,0-2 Lakh,0-2 ,2,8,no
sanskriti,sanskriti@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,Intern,2023,Ambala,9.5,4,0-2 Lakh,0-2 ,2,19,no
srishti,srishti@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College of Engineering,Unknown,Unknown,,Students,2026,Chandigarh,9.6,5,0-2 Lakh,0-2 ,2,21,no
alston ,alston@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Jind,9.6,4,0-2 Lakh,0-2 ,2,8,yes
aaditya,aaditya@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Intern,2023,Nizambad,7.3,7,0-2 Lakh,0-2 ,2,8,no 
upmanyu,upmanyu@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute of Technology,Unknown,Unknown,,Computer Engineer,2026,Agartala,7.5,4,0-2 Lakh,0-2 ,2,8,yes
sheena,sheena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Unknown,Unknown,,Students,2024,Agra,7.6,7,0-2 Lakh,0-2 ,2,16,yes
siddheshwar ,siddheshwar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE UnknownVI MUMBAI,Unknown,Unknown,,Students,2025,Gonda,7.1,3,0-2 Lakh,0-2 ,2,9,no
yugal,yugal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute of Technology,Unknown,Unknown,,Data Science and Analyst,2023,Budaun,7.9,5,0-2 Lakh,0-2 ,2,11,no
mohd yasin ,mohdyasin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Students,2023,Kanpur,7.3,4,0-2 Lakh,0-2 ,2,8,yes
nitanshu ,nitanshu@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2023,Varanasi,8.4,5,0-2 Lakh,0-2 ,2,25,yes
dattaprasad,dattaprasad@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Engineering ,2025,Alipore,9.2,7,0-2 Lakh,0-2 ,2,30,no
arman,arman@xyz.com,1,Internship Program(IP) Success Conclave,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Unknown,Unknown,,BE IT,2024,Durgapur,7.9,3,0-2 Lakh,0-2 ,2,8,yes
roshuddin,roshuddin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,G H Raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Siliguri,6.6,4,0-2 Lakh,0-2 ,2,8,yes
sheetal,sheetal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Students,2023,Siuri,8.7,4,0-2 Lakh,0-2 ,2,8,no 
romil,romil@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Siuri,8,3,0-2 Lakh,0-2 ,2,7,yes
patil,patil@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Symbiosis Institute of Technology, Pune",Unknown,Unknown,,Web Development,2025,Satna,9.7,4,0-2 Lakh,0-2 ,2,6,yes
gre,gre@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,MCA,2024,Buldhana,9.1,7,0-2 Lakh,0-2 ,2,17,no 
bodduna,bodduna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,Data Science and Analyst,2023,Dhule,9.2,4,0-2 Lakh,0-2 ,2,18,no 
sayan,sayan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Students,2023,Jalgaon,7.3,7,0-2 Lakh,0-2 ,2,19,yes
akansha,akansha@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Students,2025,Navi Mumbai,8.3,4,0-2 Lakh,0-2 ,2,25,no
rohitash,rohitash@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier's College ,Unknown,Unknown,,Students,2023,Nagpur,9.9,5,0-2 Lakh,0-2 ,2,9,yes
aloysius,aloysius@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,Students,2026,Nanded,9.3,5,0-2 Lakh,0-2 ,2,13,no
samin,samin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Unknown,Unknown,,Students,2025,Amer,7.4,7,0-2 Lakh,0-2 ,2,20,yes
anchal ,anchal@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Unknown,Unknown,,Students,2024,Jaipur,9.7,3,0-2 Lakh,0-2 ,2,9,yes
liny,liny@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vishwakarma Institute of Technology, Pune",Unknown,Unknown,,Students,2025,Jalor,7.9,7,0-2 Lakh,0-2 ,2,8,yes
pramugdhya singh,pramugdhyasingh@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Jodhpur,7.1,5,0-2 Lakh,0-2 ,2,7,no
uttam,uttam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,Engineering ,2026,Amreli,7.1,4,0-2 Lakh,0-2 ,2,5,no
ravikumar,ravikumar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson college ,Unknown,Unknown,,Students,2024,Godhra,9.1,4,0-2 Lakh,0-2 ,2,23,no
khushboo,khushboo@xyz.com,1,Internship Program(IP) Success Conclave,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Unknown,Unknown,,Software Engineer,2025,Nadiad,6.5,4,0-2 Lakh,0-2 ,2,19,yes
ashwin ,ashwin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Unknown,Unknown,,Students,2024,Rajkot,8.9,5,0-2 Lakh,0-2 ,2,5,no
divyani,divyani@xyz.com,1,Internship Program(IP) Success Conclave,Attending,New horizon institute of Technology and MaUnknowngement ,Unknown,Unknown,,Intern,2025,Ambala,8.6,3,0-2 Lakh,0-2 ,2,9,no
hrithik,hrithik@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"MIT Academy Of Engineering ,Alandi",Unknown,Unknown,,BE,2026,Kunrool,7.9,7,0-2 Lakh,0-2 ,2,11,no
grandhe,grandhe@xyz.com,1,Internship Program(IP) Success Conclave,Attending,A. C. Patil College of Engineering,Unknown,Unknown,,Students,2024,Tirupati,9.9,4,0-2 Lakh,0-2 ,2,15,no
syed irfan ,syedirfan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Wilson college ,Unknown,Unknown,,Students,2023,Vijaywada,8.1,3,0-2 Lakh,0-2 ,2,19,yes
van beslay,vanbeslay@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Unknown,Unknown,,Electrical Engineering,2023,Eluru,9.5,3,0-2 Lakh,0-2 ,2,18,yes
tanveesh singh,tanveeshsingh@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Aerospace engineer ,2024,Nagaon,9.6,5,0-2 Lakh,0-2 ,2,23,no 
anirudh,anirudh@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Students,2024,Sivasagar,6.2,3,0-2 Lakh,0-2 ,2,9,yes
shalaka,shalaka@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Silicon Institute of Technology,Unknown,Unknown,,Students,2023,Burani,9.1,5,0-2 Lakh,0-2 ,2,7,no
anupama,anupama@xyz.com,1,Internship Program(IP) Success Conclave,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Unknown,Unknown,,Students,2026,Dehri,7.2,4,0-2 Lakh,0-2 ,2,13,no
anshika,anshika@xyz.com,1,Internship Program(IP) Success Conclave,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE UnknownVI MUMBAI,Unknown,Unknown,,Students,2024,Jamalpur,6.6,3,0-2 Lakh,0-2 ,2,9,no
smita,smita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Unknown,Unknown,,Data Science and Analyst,2023,Munger,8.3,5,0-2 Lakh,0-2 ,2,17,yes
sabahat,sabahat@xyz.com,1,Internship Program(IP) Success Conclave,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Unknown,Unknown,,Intern,2024,Muzaffarpur,8.9,7,0-2 Lakh,0-2 ,2,13,no 
aishwary,aishwary@xyz.com,1,Internship Program(IP) Success Conclave,Attending,Don Bosco College of Engineering Fatorda Goa,Unknown,Unknown,,Students,2025,Sasaram,9.5,4,0-2 Lakh,0-2 ,2,11,no 
kanan,kanan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,St Xavier's College ,Unknown,Unknown,,Students,2023,Chandigarh,8.5,5,0-2 Lakh,0-2 ,2,10,yes
sana,sana@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"Vidyalankar Institute of Technology, Mumbai",Unknown,Unknown,,Students,2024,Ambikapur,8.8,5,0-2 Lakh,0-2 ,2,10,no
sowmya sree,sowmyasree@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Durg,7.5,4,0-2 Lakh,0-2 ,2,15,no
pranshu,pranshu@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2026,Raipur,8.3,7,0-2 Lakh,0-2 ,2,12,yes
abhinav,abhinav@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Intern,2026,Amreli,9.2,7,0-2 Lakh,0-2 ,2,16,no 
bhagyshree,bhagyshree@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2025,Dwarka,7.6,4,0-2 Lakh,0-2 ,2,21,yes
anas,anas@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Asst. Professor,2023,Kheda,9.2,4,0-2 Lakh,0-2 ,2,9,no
shailly ,shailly@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2026,Okha,6.5,3,0-2 Lakh,0-2 ,2,11,no
tapan,tapan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Rajkot,7.5,5,0-2 Lakh,0-2 ,2,21,no
jayendra,jayendra@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2023,Surat,6.9,5,0-2 Lakh,0-2 ,2,8,no
swarangi,swarangi@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Students,2025,Chandigarh,7.3,5,0-2 Lakh,0-2 ,2,7,no 
mushkan,mushkan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Unknown,Unknown,,Intern,2023,Gurugram,8.7,3,0-2 Lakh,0-2 ,2,21,yes
susmitha,susmitha@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2026,Karnal,8.5,5,0-2 Lakh,0-2 ,2,19,no
tusharkumar sagar ,tusharkumarsagar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Artificial intelligence,2025,Rewari,6.6,5,0-2 Lakh,0-2 ,2,17,no
neelam,neelam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Students,2023,Shimla,8.5,5,0-2 Lakh,0-2 ,2,9,yes
karthik,karthik@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2024,Una,8.7,3,0-2 Lakh,0-2 ,2,17,yes
pradnesh,pradnesh@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2024,Baramula,9.4,7,0-2 Lakh,0-2 ,2,17,no
